"collectionCode","catalogNumber","order","standardOrder","authority","Genus","standardGenus","family","standardFamily"
"Mammals","81160","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","81172","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","81170","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","81148","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","22336","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","81173","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","33146","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","2909090356","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","17300","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","24321","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","2909090353","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","77143","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","77101","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","77069","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","21515","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","3308150009","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","81149","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","3608240027","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","81144","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","14955","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","3608240029","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","3608240032","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","14952","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","3608240028","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","81155","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","2909090355","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","3608240030","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","3608240031","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
