"collectionCode","catalogNumber","verbatimContinent","Continent","verbatimWaterBody","Waterbody"
"Mammals","101714","Unknown",,,
"Mammals","94950","Unknown",,,
"Mammals","0101300042","Unknown",,,
"Mammals","1403250002","Unknown",,,
"Mammals","3104210002","Unknown",,,
"Mammals","101814","Unknown",,,
"Mammals","2807070003","Unknown",,,
"Mammals","0903040005","Unknown",,,
"Mammals","67563","Unknown",,,
"Mammals","0101300053","Unknown",,,
"Mammals","11413","Unknown",,,
"Mammals","0101300029","Unknown",,,
"Mammals","2705020212","Unknown",,,
"Mammals","9401080002","Unknown",,,
"Mammals","101781","Unknown",,,
"Mammals","2712100030","Unknown",,,
"Mammals","2705020207","Unknown",,,
"Mammals","101805","Unknown",,,
"Mammals","0011160003","Unknown",,,
"Mammals","20355","Unknown",,,
"Mammals","3306200008","Unknown",,,
"Mammals","2209250019","Unknown",,,
"Mammals","9401080003","Unknown",,,
"Mammals","2705020303","Unknown",,,
"Mammals","0011160007","Unknown",,,
"Mammals","1013000230","Unknown",,,
"Mammals","7001010051","Unknown",,,
"Mammals","3501200001","Unknown",,,
"Mammals","2709110078","Unknown",,,
"Mammals","3306200030","Unknown",,,
"Mammals","3306200024","Unknown",,,
"Mammals","101807","Unknown",,,
"Mammals","44630","Unknown",,,
"Mammals","3103070001","Unknown",,,
"Mammals","9608060001","Unknown",,,
"Mammals","0102080005","Unknown",,,
"Mammals","77701","Unknown",,,
"Mammals","1201230489","Unknown",,,
"Mammals","1704190029","Unknown",,,
"Mammals","1811170001","Unknown",,,
"Mammals","3206100005","Unknown",,,
"Mammals","1910080073","Unknown",,,
"Mammals","1802260001","Unknown",,,
"Mammals","87907","Unknown",,,
"Mammals","87908","Unknown",,,
"Mammals","3201150003","Unknown",,,
"Mammals","1910080093","Unknown",,,
"Mammals","1201230497","Unknown",,,
"Mammals","102488","Unknown",,,
"Mammals","18421","Unknown",,,
"Mammals","0101300028","Unknown",,,
"Mammals","15459","Unknown",,,
"Mammals","15541","Unknown",,,
"Mammals","0107080024","Unknown",,,
"Mammals","14915","Unknown",,,
"Mammals","14913","Unknown",,,
"Mammals","3211300011","Unknown",,,
"Mammals","14075","Unknown",,,
"Mammals","1514120001","Unknown",,,
"Mammals","2705020228","Unknown",,,
"Mammals","3612020008","Unknown",,,
"Mammals","8608040004","Unknown",,,
"Mammals","3211170022","Unknown",,,
"Mammals","94627","Unknown",,,
"Mammals","0102080004","Unknown",,,
"Mammals","101712","Unknown",,,
"Mammals","0102080003","Unknown",,,
"Mammals","111496","Unknown",,,
"Mammals","72395","Unknown",,,
"Mammals","9812030090","Unknown",,,
"Mammals","9110010017","Unknown",,,
"Mammals","86826","Unknown",,,
"Mammals","101701","Unknown",,,
"Mammals","2212280002","Unknown",,,
"Mammals","9111010064","Unknown",,,
"Mammals","17144","Unknown",,,
"Mammals","3006210459","Unknown",,,
"Mammals","9110010036","Unknown",,,
"Mammals","3203110027","Unknown",,,
"Mammals","77698","Unknown",,,
"Mammals","9102010016","Unknown",,,
"Mammals","7801010007","Unknown",,,
"Mammals","0011080005","Unknown",,,
"Mammals","9111010105","Unknown",,,
"Mammals","2705020227","Unknown",,,
"Mammals","1910080041","Unknown",,,
"Mammals","1910080043","Unknown",,,
"Mammals","1910080008","Unknown",,,
"Mammals","1910080044","Unknown",,,
"Mammals","1910080007","Unknown",,,
"Mammals","1910080009","Unknown",,,
"Mammals","3306200017","Unknown",,,
"Mammals","3310230001","Unknown",,,
"Mammals","2702110001","Unknown",,,
"Mammals","1910080045","Unknown",,,
"Mammals","1910080046","Unknown",,,
"Mammals","1910080047","Unknown",,,
"Mammals","1910080048","Unknown",,,
"Mammals","1910080049","Unknown",,,
"Mammals","2510050001","Unknown",,,
"Mammals","1910080012","Unknown",,,
"Mammals","1910080037","Unknown",,,
"Mammals","1910080038","Unknown",,,
"Mammals","1910080040","Unknown",,,
"Mammals","1910080025","Unknown",,,
"Mammals","2705020022","Unknown",,,
"Mammals","14404","Unknown",,,
"Mammals","3306200011","Unknown",,,
"Mammals","21009","Unknown",,,
"Mammals","25927","Unknown",,,
"Mammals","1910080005","Unknown",,,
"Mammals","2805220002","Unknown",,,
"Mammals","1910080006","Unknown",,,
"Mammals","1910080011","Unknown",,,
"Mammals","1910080018","Unknown",,,
"Mammals","1910080019","Unknown",,,
"Mammals","1011160002","Unknown",,,
"Mammals","1910080001","Unknown",,,
"Mammals","1910080002","Unknown",,,
"Mammals","1910080003","Unknown",,,
"Mammals","1910080004","Unknown",,,
"Mammals","1910080050","Unknown",,,
"Mammals","3302030003","Unknown",,,
"Mammals","1910080032","Unknown",,,
"Mammals","7001010037","Unknown",,,
"Mammals","2612170031","Unknown",,,
"Mammals","2612170032","Unknown",,,
"Mammals","1910080024","Unknown",,,
"Mammals","1910080026","Unknown",,,
"Mammals","1910080010","Unknown",,,
"Mammals","1910080028","Unknown",,,
"Mammals","1910080029","Unknown",,,
"Mammals","1805010006","Unknown",,,
"Mammals","1910080031","Unknown",,,
"Mammals","1805010005","Unknown",,,
"Mammals","1910080033","Unknown",,,
"Mammals","1910080034","Unknown",,,
"Mammals","1901070030","Unknown",,,
"Mammals","1704190019","Unknown",,,
"Mammals","2612170024","Unknown",,,
"Mammals","1910080079","Unknown",,,
"Mammals","1910080080","Unknown",,,
"Mammals","1910080081","Unknown",,,
"Mammals","2612170028","Unknown",,,
"Mammals","1910080030","Unknown",,,
"Mammals","1901070033","Unknown",,,
"Mammals","2705020226","Unknown",,,
"Mammals","1704190030","Unknown",,,
"Mammals","25241","Unknown",,,
"Mammals","20951","Unknown",,,
"Mammals","1910080036","Unknown",,,
"Mammals","1910080042","Unknown",,,
"Mammals","1910080022","Unknown",,,
"Mammals","1704190028","Unknown",,,
"Mammals","1901070029","Unknown",,,
"Mammals","1901070032","Unknown",,,
"Mammals","1910080051","Unknown",,,
"Mammals","2612170023","Unknown",,,
"Mammals","7001010042","Unknown",,,
"Mammals","3303080001","Unknown",,,
"Mammals","19438","Unknown",,,
"Mammals","19439","Unknown",,,
"Mammals","94343","Unknown",,,
"Mammals","1703110001","Unknown",,,
"Mammals","2308140001","Unknown",,,
"Mammals","1704190017","Unknown",,,
"Mammals","3402150001","Unknown",,,
"Mammals","25285","Unknown",,,
"Mammals","9202100002","Unknown",,,
"Mammals","3104220005","Unknown",,,
"Mammals","35299","Unknown",,,
"Mammals","0101090006","Unknown",,,
"Mammals","1109260004","Unknown",,,
"Mammals","2705020202","Unknown",,,
"Mammals","2705020203","Unknown",,,
"Mammals","22216","Unknown",,,
"Mammals","9110010018","Unknown",,,
"Mammals","7801010003","Unknown",,,
"Mammals","2612170034","Unknown",,,
"Mammals","10255","Unknown",,,
"Mammals","14909","Unknown",,,
"Mammals","14911","Unknown",,,
"Mammals","3611110001","Unknown",,,
"Mammals","10140","Unknown",,,
"Mammals","14910","Unknown",,,
"Mammals","2209250020","Unknown",,,
"Mammals","1901070014","Unknown",,,
"Mammals","3306200025","Unknown",,,
"Mammals","77568","Unknown",,,
"Mammals","96759","Unknown",,,
"Mammals","96760","Unknown",,,
"Mammals","97099","Unknown",,,
"Mammals","92685","Unknown",,,
"Mammals","64299","Unknown",,,
"Mammals","90524","Unknown",,,
"Mammals","90525","Unknown",,,
"Mammals","77566","Unknown",,,
"Mammals","25522","Unknown",,,
"Mammals","77563","Unknown",,,
"Mammals","3509180001","Unknown",,,
"Mammals","77569","Unknown",,,
"Mammals","64304","Unknown",,,
"Mammals","64303","Unknown",,,
"Mammals","97106","Unknown",,,
"Mammals","97107","Unknown",,,
"Mammals","97108","Unknown",,,
"Mammals","97109","Unknown",,,
"Mammals","80263","Unknown",,,
"Mammals","9110010019","Unknown",,,
"Mammals","69268","Unknown",,,
"Mammals","1910080021","Unknown",,,
"Mammals","3306200026","Unknown",,,
"Mammals","9110010020","Unknown",,,
"Mammals","3509180002","Unknown",,,
"Mammals","1910080027","Unknown",,,
"Mammals","1910080013","Unknown",,,
"Mammals","1910080014","Unknown",,,
"Mammals","1910080015","Unknown",,,
"Mammals","1910080016","Unknown",,,
"Mammals","7001010041","Unknown",,,
"Mammals","1910080020","Unknown",,,
"Mammals","3306200021","Unknown",,,
"Mammals","1901070039","Unknown",,,
"Mammals","1910080023","Unknown",,,
"Mammals","0111290013","Unknown",,,
"Mammals","1901070001","Unknown",,,
"Mammals","0101300068","Unknown",,,
"Mammals","1901070009","Unknown",,,
"Mammals","1901070012","Unknown",,,
"Mammals","2612170036","Unknown",,,
"Mammals","1910080017","Unknown",,,
"Mammals","2612170037","Unknown",,,
"Mammals","25288","Unknown",,,
"Mammals","2612170038","Unknown",,,
"Mammals","2612170004","Unknown",,,
"Mammals","1704190037","Unknown",,,
"Mammals","1901070015","Unknown",,,
"Mammals","1901070016","Unknown",,,
"Mammals","1901070003","Unknown",,,
"Mammals","1901070007","Unknown",,,
"Mammals","9111010177","Unknown",,,
"Mammals","3306200027","Unknown",,,
"Mammals","3306200022","Unknown",,,
"Mammals","14408","Unknown",,,
"Mammals","3211300010","Unknown",,,
"Mammals","3306200012","Unknown",,,
"Mammals","3306200013","Unknown",,,
"Mammals","3306200014","Unknown",,,
"Mammals","3306200015","Unknown",,,
"Mammals","3306200016","Unknown",,,
"Mammals","3306200020","Unknown",,,
"Mammals","1910080035","Unknown",,,
"Mammals","1901070013","Unknown",,,
"Mammals","16762","Unknown",,,
"Mammals","2612170015","Unknown",,,
"Mammals","7002010003","Unknown",,,
"Mammals","3302030005","Unknown",,,
"Mammals","60283","Unknown",,,
"Mammals","60284","Unknown",,,
"Mammals","60285","Unknown",,,
"Mammals","94609","Unknown",,,
"Mammals","9102010015","Unknown",,,
"Mammals","1901070025","Unknown",,,
"Mammals","0101300021","Unknown",,,
"Mammals","1901070017","Unknown",,,
"Mammals","1702110004","Unknown",,,
"Mammals","94088","Unknown",,,
"Mammals","3306200007","Unknown",,,
"Mammals","8606010010","Unknown",,,
"Mammals","8806010002","Unknown",,,
"Mammals","3202090001","Unknown",,,
"Mammals","0101300049","Unknown",,,
"Mammals","0101300051","Unknown",,,
"Mammals","9102010017","Unknown",,,
"Mammals","2612170041","Unknown",,,
"Mammals","2612170052","Unknown",,,
"Mammals","1910080069","Unknown",,,
"Mammals","1910080070","Unknown",,,
"Mammals","2612170009","Unknown",,,
"Mammals","2612170010","Unknown",,,
"Mammals","0903010037","Unknown",,,
"Mammals","8406010001","Unknown",,,
"Mammals","9403260002","Unknown",,,
"Mammals","2612170008","Unknown",,,
"Mammals","2612170040","Unknown",,,
"Mammals","2612170007","Unknown",,,
"Mammals","2612170042","Unknown",,,
"Mammals","2403150001","Unknown",,,
"Mammals","1910080077","Unknown",,,
"Mammals","1910080078","Unknown",,,
"Mammals","2612170005","Unknown",,,
"Mammals","2612170006","Unknown",,,
"Mammals","2612170058","Unknown",,,
"Mammals","2612170059","Unknown",,,
"Mammals","61465","Unknown",,,
"Mammals","2403150002","Unknown",,,
"Mammals","75217","Unknown",,,
"Mammals","84156","Unknown",,,
"Mammals","25282","Unknown",,,
"Mammals","60392","Unknown",,,
"Mammals","65469","Unknown",,,
"Mammals","16896","Unknown",,,
"Mammals","3306201053","Unknown",,,
"Mammals","2410180001","Unknown",,,
"Mammals","14424","Unknown",,,
"Mammals","7001010044","Unknown",,,
"Mammals","8608240009","Unknown",,,
"Mammals","60393","Unknown",,,
"Mammals","70737","Unknown",,,
"Mammals","16910","Unknown",,,
"Mammals","16499","Unknown",,,
"Mammals","0011080014","Unknown",,,
"Mammals","9102010001","Unknown",,,
"Mammals","0104200001","Unknown",,,
"Mammals","21397","Unknown",,,
"Mammals","0102010009","Unknown",,,
"Mammals","0011290007","Unknown",,,
"Mammals","27623","Unknown",,,
"Mammals","14748","Unknown",,,
"Mammals","2612170012","Unknown",,,
"Mammals","61463","Unknown",,,
"Mammals","61462","Unknown",,,
"Mammals","16912","Unknown",,,
"Mammals","3211080038","Unknown",,,
"Mammals","11202","Unknown",,,
"Mammals","9508300001","Unknown",,,
"Mammals","7002010001","Unknown",,,
"Mammals","25283","Unknown",,,
"Mammals","20356","Unknown",,,
"Mammals","8606010004","Unknown",,,
"Mammals","91483","Unknown",,,
"Mammals","14343","Unknown",,,
"Mammals","16908","Unknown",,,
"Mammals","31295","Unknown",,,
"Mammals","16909","Unknown",,,
"Mammals","16911","Unknown",,,
"Mammals","16913","Unknown",,,
"Mammals","9102010022","Unknown",,,
"Mammals","7906010003","Unknown",,,
"Mammals","25315","Unknown",,,
"Mammals","1901070005","Unknown",,,
"Mammals","3503040001","Unknown",,,
"Mammals","1805010007","Unknown",,,
"Mammals","1805010008","Unknown",,,
"Mammals","1805010009","Unknown",,,
"Mammals","1901070040","Unknown",,,
"Mammals","2612170055","Unknown",,,
"Mammals","2612170056","Unknown",,,
"Mammals","19459","Unknown",,,
"Mammals","1901070026","Unknown",,,
"Mammals","3306200010","Unknown",,,
"Mammals","1805010004","Unknown",,,
"Mammals","2612170018","Unknown",,,
"Mammals","2612170013","Unknown",,,
"Mammals","2612170014","Unknown",,,
"Mammals","2612170016","Unknown",,,
"Mammals","2612170017","Unknown",,,
"Mammals","2612170019","Unknown",,,
"Mammals","0101300070","Unknown",,,
"Mammals","0101300071","Unknown",,,
"Mammals","8406010005","Unknown",,,
"Mammals","3212010006","Unknown",,,
"Mammals","2612170051","Unknown",,,
"Mammals","16548","Unknown",,,
"Mammals","0903040009","Unknown",,,
"Mammals","77633","Unknown",,,
"Mammals","1901070036","Unknown",,,
"Mammals","14406","Unknown",,,
"Mammals","2612170053","Unknown",,,
"Mammals","2612170054","Unknown",,,
"Mammals","2209270001","Unknown",,,
"Mammals","1805010001","Unknown",,,
"Mammals","2612170050","Unknown",,,
"Mammals","1805010003","Unknown",,,
"Mammals","1901070010","Unknown",,,
"Mammals","1901070022","Unknown",,,
"Mammals","2612170048","Unknown",,,
"Mammals","2612170060","Unknown",,,
"Mammals","2612170061","Unknown",,,
"Mammals","1901070004","Unknown",,,
"Mammals","2612170033","Unknown",,,
"Mammals","14914","Unknown",,,
"Mammals","2612170025","Unknown",,,
"Mammals","1901070027","Unknown",,,
"Mammals","2702110002","Unknown",,,
"Mammals","1901070006","Unknown",,,
"Mammals","1901070018","Unknown",,,
"Mammals","0101300072","Unknown",,,
"Mammals","2612170045","Unknown",,,
"Mammals","7906010006","Unknown",,,
"Mammals","1805010010","Unknown",,,
"Mammals","1805010011","Unknown",,,
"Mammals","2612170039","Unknown",,,
"Mammals","1805010013","Unknown",,,
"Mammals","2612170020","Unknown",,,
"Mammals","2612170030","Unknown",,,
"Mammals","2612170044","Unknown",,,
"Mammals","8001010002","Unknown",,,
"Mammals","2612170029","Unknown",,,
"Mammals","1901070028","Unknown",,,
"Mammals","95180","Unknown",,,
"Mammals","2612170021","Unknown",,,
"Mammals","2612170022","Unknown",,,
"Mammals","2612170011","Unknown",,,
"Mammals","1805010012","Unknown",,,
"Mammals","2612170027","Unknown",,,
"Mammals","1805010002","Unknown",,,
"Mammals","20994","Unknown",,,
"Mammals","2705020224","Unknown",,,
"Mammals","3609280003","Unknown",,,
"Mammals","27400","Unknown",,,
"Mammals","7506010001","Unknown",,,
"Mammals","3306200004","Unknown",,,
"Mammals","3608040001","Unknown",,,
"Mammals","31292","Unknown",,,
"Mammals","90839","Unknown",,,
"Mammals","2705020204","Unknown",,,
"Mammals","2612170026","Unknown",,,
"Mammals","3402010001","Unknown",,,
"Mammals","2510210101","Unknown",,,
"Mammals","1901070011","Unknown",,,
