"collectionCode","catalogNumber","Genus","standardGenus","family","standardFamily","authority"
"Mammals","26192","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","26172","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","26190","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","26174","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","23306","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","23307","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","26187","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","26184","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","26183","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","26182","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","16470","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","26221","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","26248","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","16468","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","16302","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","16306","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","64223","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","64222","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","64239","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","25863","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","74880","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","25861","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","74881","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","26247","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","23297","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","64235","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","64234","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","74878","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","74859","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","74877","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","74879","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","74076","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","23303","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","74065","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","74801","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","74067","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","74864","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","74860","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","74073","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","23296","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","74075","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","16467","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","74077","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","74066","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","25688","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","97334","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","74887","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","74886","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","74882","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","74074","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","74821","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","84633","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","84605","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","84373","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","84222","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","85242","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","97335","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","26206","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","74824","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","74894","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","74820","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","97336","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","97337","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","97338","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","100768","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","101181","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","74819","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","83675","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","25705","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","27059","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","10837","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","25720","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","25719","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","25722","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","25721","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","25709","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","84636","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","25706","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","84644","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","25718","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","25681","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","25680","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
